,Unnamed: 0,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,Numerator,Day_Perc_Change,Trend,Daily Return,SMA21,SMA34,average,std,Upper band,Lower band
135,135,RELINFRA,EQ,2017-11-27,451.45,448.0,467.95,447.8,462.3,464.95,458.3,1658559,760122091.6,22233,182644,11.01,11,2017,760117589.7,0.029903643814375824,Positive,0.037834821428571405,464.51190476190504,467.53676470588215,451.24999999999994,13.08597311275275,477.42194622550545,425.07805377449444
136,136,RELINFRA,EQ,2017-11-28,464.95,460.0,463.95,452.4,457.25,458.3,457.87,1653195,756944137.5,23965,141234,8.54,11,2017,756948394.65,-0.01430261318421333,Negative,-0.0036956521739130188,462.3904761904764,466.9647058823527,451.6749999999999,13.220376900247999,478.1157538004959,425.2342461995039
137,137,RELINFRA,EQ,2017-11-29,458.3,459.3,460.8,450.9,452.7,453.5,455.8,1024832,467114333.4,15123,169609,16.55,11,2017,467118425.6,-0.010473488981016854,Negative,-0.012627912040060987,460.0452380952383,466.59411764705857,450.5107142857142,12.178025268923744,474.86676482356165,426.1546637478667
138,138,RELINFRA,EQ,2017-11-30,453.5,451.0,458.2,436.3,438.2,439.95,449.54,2665054,1198036145.0,33957,604731,22.69,11,2017,1198048375.16,-0.02987872105843448,Negative,-0.024501108647450136,457.24761904761925,465.8455882352939,448.70714285714274,11.6953945101159,472.09793187737455,425.31635383691093
139,139,RELINFRA,EQ,2017-12-01,439.95,439.95,447.8,434.4,435.7,436.6,440.41,1915401,843563994.5,23405,137764,7.19,12,2017,843561754.4100001,-0.007614501647914441,Slight negative,-0.007614501647914458,454.21666666666687,465.0602941176469,447.08571428571423,11.68739341492198,470.4605011155582,423.71092745587026
140,140,RELINFRA,EQ,2017-12-04,436.6,439.0,443.65,433.0,442.5,439.3,438.6,1343938,589452543.6,20316,270876,20.16,12,2017,589451206.8000001,0.0061841502519468525,Slight positive,0.0006833712984054929,451.7880952380955,464.4573529411763,445.64642857142854,11.281289211066849,468.20900699356224,423.08385014929485
141,141,RELINFRA,EQ,2017-12-05,439.3,437.5,446.55,430.5,442.45,443.6,438.02,2018758,884253647.6,39114,383726,19.01,12,2017,884256379.16,0.00978829956749383,Slight positive,0.013942857142857194,450.05714285714305,463.9338235294116,447.4785714285714,8.060247044450852,463.5990655174731,431.3580773396697
142,142,RELINFRA,EQ,2017-12-06,443.6,440.5,452.7,438.3,439.85,440.35,444.21,1839911,817315244.9,31980,238007,12.94,12,2017,817306865.31,-0.007326420198376926,Slight negative,-0.0003405221339386544,449.0047619047621,463.26470588235276,447.075,8.27846487998996,463.6319297599799,430.51807024002005
143,143,RELINFRA,EQ,2017-12-07,440.35,442.45,458.15,441.05,455.0,455.95,451.73,2000685,903777693.0,35596,515131,25.75,12,2017,903769435.05,0.03542636539116595,Among top gainers,0.03051192225110182,449.1761904761907,463.32794117647046,448.3107142857143,8.215070077219199,464.7408544401527,431.8805741312759
144,144,RELINFRA,EQ,2017-12-08,455.95,458.0,458.0,445.65,450.2,449.8,451.41,1405888,634637391.2,24619,179384,12.76,12,2017,634631902.08,-0.013488321087838484,Negative,-0.01790393013100434,448.22380952380973,462.75441176470576,448.7714285714286,8.09545727994561,464.9623431313198,432.5805140115374
145,145,RELINFRA,EQ,2017-12-11,449.8,452.9,462.0,450.5,458.7,459.15,456.1,1353025,617114632.2,26183,288295,21.31,12,2017,617114702.5,0.02078701645175629,Positive,0.013799955840141312,447.9357142857144,462.1970588235293,449.37857142857143,8.552995747907975,466.4845629243874,432.2725799327555
146,146,RELINFRA,EQ,2017-12-12,459.15,457.0,460.2,447.0,450.25,450.2,453.86,901588,409191489.3,20505,143756,15.94,12,2017,409194729.68,-0.01949254056408578,Negative,-0.014879649890590834,447.5023809523812,461.120588235294,449.4357142857143,8.555821872390958,466.54735803049624,432.3240705409324
147,147,RELINFRA,EQ,2017-12-13,450.2,450.25,457.6,447.2,450.1,450.35,452.78,1178941,533800851.3,17443,259467,22.01,12,2017,533800905.98,0.00033318525099956814,Slight or No change,0.0002220988339811721,447.0690476190478,459.9308823529411,449.5321428571429,8.558140684635744,466.64842422641436,432.41586148787144
148,148,RELINFRA,EQ,2017-12-14,450.35,452.5,455.7,440.0,453.8,454.45,447.83,1372706,614738074.6,16357,230653,16.8,12,2017,614738927.98,0.00910403019873418,Slight positive,0.004309392265193345,448.80714285714305,458.4191176470588,449.7464285714286,8.646952871158684,467.040334313746,432.4525228291113
149,149,RELINFRA,EQ,2017-12-15,454.45,458.1,460.35,446.55,450.65,448.85,453.21,1611619,730406987.2,27677,224979,13.96,12,2017,730401846.99,-0.012322587743426094,Negative,-0.020192097795241212,448.94285714285735,456.8308823529411,448.59642857142865,7.45833205435123,463.5130926801311,433.6797644627262
150,150,RELINFRA,EQ,2017-12-18,448.85,446.0,451.8,425.6,443.25,444.05,445.01,1465580,652193100.5,24551,187973,12.83,12,2017,652197755.8,-0.010693995766960064,Negative,-0.004372197309417015,449.2000000000002,455.1044117647058,447.57857142857154,6.98984742558543,461.5582662797424,433.5988765774007
151,151,RELINFRA,EQ,2017-12-19,444.05,445.0,448.35,439.6,443.0,443.25,443.11,1435436,636053214.9,28009,216511,15.08,12,2017,636056045.96,-0.0018015989190406367,Slight or No change,-0.003932584269662922,449.19523809523827,453.4735294117646,446.84642857142865,6.8574626470758435,460.5613538655803,433.131503277277
152,152,RELINFRA,EQ,2017-12-20,443.25,444.0,479.85,441.0,464.05,466.2,458.91,4414386,2025799255.0,57549,574156,13.01,12,2017,2025805879.26,0.051776649746192886,Among top gainers,0.049999999999999975,449.93571428571454,452.4720588235293,448.72142857142865,8.269980799105767,465.2613901696402,432.1814669732171
153,153,RELINFRA,EQ,2017-12-21,466.2,467.0,528.75,457.05,512.1,505.05,489.8,9511530,4658722635.0,112162,1364127,14.34,12,2017,4658747394.0,0.08333333333333348,Bull run,0.08147751605995719,452.5857142857145,452.9058823529411,453.6107142857144,16.59566878819492,486.80205186210424,420.4193767093245
154,154,RELINFRA,EQ,2017-12-22,505.05,521.0,544.85,515.0,526.85,528.45,529.13,14126392,7474723324.0,152155,784068,5.55,12,2017,7474697798.96,0.04633204633204646,Among top gainers,0.014299424184261124,456.3690476190479,454.3323529411764,459.97857142857146,25.432926222983628,510.84442387453873,409.1127189826042
155,155,RELINFRA,EQ,2017-12-26,528.45,528.45,544.8,522.0,536.45,539.85,536.34,7265462,3896761428.0,89267,579650,7.98,12,2017,3896757889.08,0.0215725234175419,Positive,0.021572523417541824,460.57857142857165,456.60882352941167,466.85357142857146,32.65001745956469,532.1536063477008,401.5535365094421
156,156,RELINFRA,EQ,2017-12-27,539.85,539.85,551.9,530.1,531.8,533.75,539.91,6472478,3494541161.0,74466,406788,6.28,12,2017,3494555596.98,-0.011299435028248594,Negative,-0.01129943502824863,463.8547619047621,459.0029411764705,473.52500000000003,36.17041794913864,545.8658358982773,401.1841641017228
157,157,RELINFRA,EQ,2017-12-28,533.75,534.75,572.7,533.55,554.1,555.05,554.91,12084325,6705714834.0,122552,2328260,19.27,12,2017,6705712785.75,0.03990632318501164,Among top gainers,0.03796166432912568,468.461904761905,461.51029411764694,480.60357142857146,41.73528973591344,564.0741509003983,397.1329919567446
